RoundNumber,Country,Location,EventName,Session1,Session2,Session3,Session4,Session5,Year,ID,Laps
17.0,Azerbaijan,Baku,Azerbaijan Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2025,1161,51
18.0,Singapore,Marina Bay,Singapore Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2025,1162,62
19.0,United States,Austin,United States Grand Prix,Practice 1,Sprint Qualifying,Sprint,Qualifying,Race,2025,1163,56
20.0,Mexico,Mexico City,Mexico City Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2025,1164,71
21.0,Brazil,São Paulo,São Paulo Grand Prix,Practice 1,Sprint Qualifying,Sprint,Qualifying,Race,2025,1165,71
22.0,United States,Las Vegas,Las Vegas Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2025,1166,50
23.0,Qatar,Lusail,Qatar Grand Prix,Practice 1,Sprint Qualifying,Sprint,Qualifying,Race,2025,1167,57
24.0,United Arab Emirates,Yas Island,Abu Dhabi Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2025,1168,58
1.0,Australia,Melbourne,Australian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2026,1169,58
2.0,China,Shanghai,Chinese Grand Prix,Practice 1,Sprint Qualifying,Sprint,Qualifying,Race,2026,1170,56
3.0,Japan,Suzuka,Japanese Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2026,1171,53
4.0,United States,Miami Gardens,Miami Grand Prix,Practice 1,Sprint Qualifying,Sprint,Qualifying,Race,2026,1172,57
5.0,Canada,Montréal,Canadian Grand Prix,Practice 1,Sprint Qualifying,Sprint,Qualifying,Race,2026,1173,68
6.0,Monaco,Monte Carlo,Monaco Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2026,1174,78
7.0,Spain,Barcelona,Barcelona Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2026,1175,66
8.0,Austria,Spielberg,Austrian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2026,1176,71
9.0,United Kingdom,Silverstone,British Grand Prix,Practice 1,Sprint Qualifying,Sprint,Qualifying,Race,2026,1177,52
10.0,Belgium,Spa-Francorchamps,Belgian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2026,1178,44
